,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings
Hot Streak,28/88,60,694,"£613,043",22/83,35,465,"£462,604",14/64,25,229,"£150,439",0/3,0,9,"£3,541",,,,,0/3,0,9,"£3,541",,,,,,,,,15/73,18,301,"£246,181",8/36,8,155,"£103,318",20/76,44,509,"£489,765",8/46,9,154,"£90,635",2/7,2,16,"£12,100",1/3,1,8,"£4,421",4/1,4,7,"£16,123",1/15,1,21,"£21,517",5/36,7,70,"£136,439",2/42,2,63,"£31,270",10/63,12,144,"£159,282",9/57,9,128,"£88,551",0/7,0,7,"£1,314"
Iffraaj,392/719,897,8076,"£12,176,131",291/684,532,5105,"£9,513,112",195/556,365,2971,"£2,663,019",28/82,67,664,"£661,353",3/17,6,66,"£155,396",27/77,54,554,"£465,410",6/17,7,44,"£40,547",72/164,134,1342,"£1,796,115",170/525,221,1731,"£3,102,944",,,,,130/422,261,2111,"£3,145,652",256/633,489,4433,"£7,252,380",61/273,93,979,"£1,291,479",30/121,37,395,"£266,296",15/53,17,158,"£220,323",19/144,19,209,"£246,023",54/390,69,830,"£1,714,921",78/353,100,806,"£1,483,081",128/540,184,1855,"£3,091,161",151/549,206,1683,"£3,553,122",6/43,6,53,"£54,263"
Imperial Monarch,,,,,,,,,,,,,13/86,19,337,"£186,412",0/8,0,13,"£7,726",7/64,13,229,"£136,183",6/57,6,95,"£42,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/31,2,41,"£36,013",5/49,6,85,"£52,062",2/18,3,25,"£19,133",4/49,6,103,"£61,671",0/4,0,4,"£1,491",,,,
Indian Haven,36/115,99,1232,"£1,056,502",29/108,55,764,"£825,988",17/87,44,468,"£230,514",9/54,25,424,"£253,135",5/11,13,103,"£102,366",6/42,12,250,"£144,648",0/30,0,71,"£6,120",6/27,19,322,"£187,393",12/75,15,284,"£346,049",,,,,7/63,10,212,"£271,952",26/96,74,751,"£647,254",7/51,7,145,"£70,467",4/34,4,87,"£43,941",2/12,4,37,"£22,888",6/38,7,87,"£140,690",8/70,12,187,"£185,439",8/48,9,131,"£121,460",18/95,25,392,"£264,660",16/84,25,277,"£346,058",0/9,0,11,"£3,420"
Invincible Spirit,715/1119,1743,14366,"£28,046,965",540/1062,1108,9617,"£22,993,220",333/802,635,4749,"£5,053,745",28/93,62,783,"£593,103",5/17,6,113,"£87,802",27/90,54,650,"£500,907",2/10,2,20,"£4,394",302/704,672,7083,"£7,569,297",327/815,431,2931,"£7,207,237",,,,,378/802,801,6396,"£12,996,930",385/914,773,6534,"£12,715,042",71/262,115,915,"£1,500,280",25/109,37,373,"£628,315",27/36,17,148,"£206,398",41/256,45,394,"£1,676,928",111/579,131,1400,"£3,061,894",110/497,147,1222,"£2,438,105",233/861,325,3151,"£7,236,361",278/833,404,3128,"£7,718,218",28/118,33,184,"£247,955"
Jack Hobbs,0/2,0,5,"£5,166",0/2,0,3,"£5,166",0/1,0,2,—,,,,,,,,,,,,,,,,,,,,,0/2,0,5,"£5,166",0/2,0,5,"£5,166",0/1,0,1,—,0/2,0,4,"£5,166",,,,,,,,,,,,,,,,,0/1,0,2,"£4,690",,,,,,,,,0/1,0,1,£476,,,,
Jet Away,0/3,0,5,—,0/2,0,2,—,0/2,0,3,—,9/46,14,149,"£107,751",0/1,0,1,£350,3/33,6,101,"£60,221",8/29,8,47,"£47,180",,,,,0/1,0,1,—,,,,,,,,,0/3,0,4,—,0/1,0,1,—,,,,,,,,,3/20,4,31,"£22,594",1/23,1,27,"£6,376",1/9,1,12,"£9,389",4/24,6,42,"£46,917",0/1,0,1,£727,,,,
Joshua Tree,3/4,4,34,"£24,186",2/3,2,13,"£10,159",2/4,2,21,"£14,027",2/7,3,34,"£21,661",0/1,0,3,—,2/5,3,27,"£20,304",0/2,0,4,"£1,357",,,,,0/1,0,2,£828,,,,,,,,,1/3,1,15,"£6,426",2/4,3,9,"£13,457",0/3,0,7,"£3,698",0/2,0,3,£606,1/3,1,6,"£4,754",0/2,0,4,"£1,075",0/3,0,4,"£1,989",2/7,4,19,"£22,109",0/2,0,3,£800,,,,
Jukebox Jury,9/19,24,153,"£468,436",8/18,19,121,"£437,024",4/13,5,32,"£31,412",10/21,27,140,"£456,296",3/5,6,17,"£130,265",10/18,19,111,"£320,488",1/6,2,12,"£5,542",,,,,2/11,4,34,"£29,737",1/4,1,13,"£5,004",,,,,4/14,6,39,"£38,368",2/14,3,22,"£60,291",4/11,5,26,"£58,041",4/10,10,66,"£311,736",5/12,6,21,"£123,021",8/25,12,68,"£333,240",4/15,7,44,"£139,978",7/21,12,63,"£110,300",3/14,3,30,"£139,039",,,,
Kalanisi,71/144,146,1306,"£1,708,121",60/138,114,992,"£1,493,121",19/92,32,314,"£215,000",190/519,463,4376,"£5,572,395",50/137,82,744,"£1,248,561",142/416,289,2904,"£3,749,968",73/328,92,728,"£573,866",78/155,190,1557,"£2,120,866",18/82,19,251,"£200,982",,,,,3/26,3,59,"£36,748",26/113,44,463,"£495,565",19/100,22,246,"£242,991",27/91,41,241,"£471,594",20/57,36,297,"£461,223",43/244,55,561,"£786,185",91/368,116,1082,"£1,610,934",57/228,87,670,"£1,334,515",112/451,177,1726,"£2,073,969",46/179,68,482,"£691,457",7/23,7,29,"£33,778"
Kayf Tara,16/50,38,464,"£206,805",11/44,18,287,"£142,010",10/37,20,177,"£64,795",463/988,1343,10862,"£16,546,819",200/380,458,3443,"£8,268,543",348/805,672,5681,"£7,118,845",176/788,213,1738,"£1,159,431",62/159,179,1437,"£1,184,525",2/18,2,39,"£7,615",,,,,0/4,0,6,"£1,736",2/30,2,87,"£9,604",6/32,10,115,"£59,803",7/37,13,113,"£42,594",6/27,13,143,"£93,068",146/507,213,1313,"£2,400,225",233/720,344,2688,"£4,644,134",180/636,261,2177,"£3,506,752",256/799,407,3624,"£5,088,684",59/272,67,603,"£471,494",0/16,0,20,"£7,302"
Kingman,157/259,279,1606,"£5,357,051",115/240,192,1130,"£4,637,916",70/171,87,476,"£719,135",0/8,0,18,"£1,894",,,,,0/7,0,16,"£1,537",0/1,0,2,£357,,,,,73/189,85,436,"£1,020,618",18/51,22,117,"£325,733",29/88,40,272,"£528,538",118/229,194,1017,"£3,776,825",31/87,36,246,"£840,671",7/32,8,57,"£201,286",1/7,1,14,"£9,731",8/34,8,37,"£74,493",27/111,28,169,"£764,253",23/101,25,144,"£1,012,374",42/164,48,364,"£1,287,192",53/172,72,362,"£1,477,329",1/7,1,7,"£7,343"
Kingston Hill,6/14,8,115,"£72,835",3/12,4,66,"£43,558",3/10,4,49,"£29,277",1/14,1,43,"£9,524",,,,,0/8,0,24,"£2,367",1/9,1,19,"£7,157",,,,,0/3,0,16,"£5,207",0/2,0,10,"£4,859",0/4,0,15,"£5,749",1/12,2,42,"£16,551",1/9,1,29,"£15,400",2/7,2,17,"£13,358",2/6,3,12,"£21,777",0/8,0,8,£520,1/10,1,19,"£8,246",0/5,0,10,"£1,913",1/18,1,40,"£13,016",1/6,2,12,"£19,997",,,,
Kodi Bear,38/83,66,563,"£1,202,875",25/79,45,395,"£1,036,977",17/59,21,168,"£165,898",1/4,1,10,"£13,060",,,,,1/4,1,10,"£13,060",,,,,,,,,25/74,39,312,"£729,398",15/44,22,171,"£310,238",28/70,47,326,"£834,922",9/54,15,195,"£223,923",2/11,2,31,"£48,178",2/6,2,9,"£95,852",1/2,0,2,—,1/14,1,17,"£84,552",9/44,9,65,"£110,636",7/26,10,48,"£185,599",12/65,15,149,"£472,322",6/49,7,80,"£163,758",1/2,1,2,"£6,116"
Kodiac,633/1111,1506,13835,"£19,871,416",499/1061,982,8918,"£15,274,419",288/825,524,4917,"£4,596,997",19/72,38,486,"£270,786",3/8,6,62,"£39,309",18/70,31,412,"£224,918",1/6,1,12,"£6,559",38/121,79,862,"£957,521",394/949,558,4193,"£7,716,473",,,,,415/931,875,7436,"£11,746,662",280/786,536,5356,"£6,776,264",42/192,66,686,"£904,861",12/82,18,258,"£364,048",25/35,11,99,"£79,581",28/205,34,308,"£564,684",99/539,109,1152,"£1,865,980",111/544,134,1259,"£2,036,601",253/862,341,3050,"£5,374,460",257/817,357,2921,"£5,450,639",18/96,18,127,"£159,923"
Kuroshio,8/16,16,191,"£244,300",4/15,8,103,"£191,019",5/11,8,88,"£53,282",0/1,0,8,"£1,327",,,,,0/1,0,8,"£1,327",,,,,,,,,5/14,6,64,"£107,804",5/14,6,64,"£107,804",6/14,13,134,"£174,953",2/10,2,49,"£65,142",1/2,1,5,"£3,805",0/3,0,3,£400,,,,,0/2,0,3,"£1,262",2/6,2,14,"£34,394",1/9,1,14,"£5,847",0/11,0,37,"£58,693",3/13,5,42,"£92,150",0/1,0,1,—
Laverock,0/1,0,1,—,0/1,0,1,—,,,,,9/15,29,177,"£569,898",2/5,10,64,"£376,250",8/13,18,101,"£186,810",1/6,1,12,"£6,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,1,—,3/7,4,29,"£51,407",6/8,11,60,"£210,334",2/10,2,28,"£100,887",2/13,9,46,"£214,700",1/2,1,2,"£3,899",,,,
Leading Light,0/5,0,18,"£2,141",0/5,0,16,"£2,141",0/1,0,2,—,14/105,18,401,"£205,505",0/5,0,5,"£3,704",8/75,10,269,"£136,688",7/74,8,127,"£65,113",,,,,0/2,0,4,£248,0/2,0,4,£248,0/1,0,3,—,0/3,0,4,£548,0/2,0,3,£218,0/2,0,5,£558,0/3,0,3,£818,4/29,4,45,"£34,824",1/50,1,73,"£29,925",2/24,2,36,"£19,381",3/75,5,147,"£68,551",0/4,0,5,"£1,429",,,,
Libertarian,1/1,2,8,"£6,365",1/1,1,4,"£3,488",1/1,1,4,"£2,877",4/21,5,49,"£27,495",,,,,2/10,2,25,"£17,475",2/17,3,24,"£10,020",,,,,,,,,,,,,,,,,1/1,1,6,"£3,743",1/1,1,2,"£2,622",,,,,,,,,0/3,0,3,—,1/8,1,12,"£3,847",1/5,1,7,"£5,161",2/13,3,22,"£17,625",0/1,0,1,—,,,,
Linda's Lad,0/1,0,1,"£2,335",0/1,0,1,"£2,335",,,,,18/28,41,287,"£568,374",8/16,16,115,"£272,125",14/25,23,148,"£286,482",2/15,2,24,"£9,766",1/4,1,25,"£47,828",,,,,,,,,,,,,,,,,,,,,0/1,0,1,"£2,335",,,,,3/12,3,27,"£62,600",10/21,12,73,"£150,822",6/16,10,62,"£77,540",8/23,9,90,"£142,188",1/4,1,4,"£4,096",,,,
Lope De Vega,267/459,631,4485,"£11,079,997",208/439,422,3123,"£9,229,216",120/331,209,1362,"£1,850,781",12/45,26,282,"£424,543",1/3,2,18,"£63,787",12/44,24,259,"£358,848",0/4,0,5,"£1,908",20/37,33,290,"£463,824",99/317,130,849,"£2,208,013",13/36,17,108,"£494,073",51/170,116,782,"£1,772,309",181/421,344,2456,"£6,682,392",78/222,104,769,"£1,550,163",40/117,54,346,"£713,864",10/49,13,132,"£361,269",19/133,22,203,"£349,270",53/245,67,514,"£1,705,769",43/213,51,458,"£1,314,963",114/339,150,1082,"£3,139,073",84/293,119,772,"£2,706,266",4/13,4,15,"£20,192"
Mahler,0/7,0,18,"£3,463",0/7,0,14,"£3,463",0/1,0,4,—,188/442,440,4107,"£4,806,558",78/180,172,1282,"£2,324,990",130/375,208,2325,"£2,034,689",56/264,60,500,"£446,879",0/1,0,3,—,,,,,,,,,,,,,0/2,0,4,—,0/1,0,1,—,0/3,0,8,—,0/4,0,5,"£3,463",47/229,56,514,"£673,089",66/307,96,937,"£1,310,808",37/185,50,503,"£548,997",92/327,164,1403,"£1,618,813",9/55,11,84,"£91,668",,,,
Mahsoob,0/1,0,4,—,0/1,0,1,—,0/1,0,3,—,,,,,,,,,,,,,,,,,,,,,0/1,0,4,—,,,,,,,,,0/1,0,4,—,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,1,—,,,,,,,,
Make Believe,46/85,90,746,"£1,925,399",38/85,67,542,"£1,754,883",19/57,23,204,"£170,516",5/9,5,58,"£54,984",,,,,5/9,5,58,"£54,984",,,,,,,,,15/57,20,185,"£285,146",11/38,16,128,"£229,097",9/37,15,131,"£189,548",26/77,40,416,"£576,381",10/44,17,106,"£965,531",6/27,7,54,"£83,135",3/11,11,39,"£110,804",4/35,4,57,"£49,503",12/61,15,114,"£134,053",5/25,9,50,"£287,222",26/67,29,192,"£983,188",7/45,10,89,"£317,983",0/1,0,1,£828
Malinas,1/4,1,14,"£8,217",1/4,1,12,"£8,217",0/2,0,2,—,72/164,177,1213,"£1,970,856",17/38,41,193,"£697,591",57/130,101,752,"£1,030,873",29/128,35,268,"£242,393",5/10,8,48,"£34,688",,,,,,,,,,,,,0/2,0,3,—,0/2,0,5,—,1/3,1,5,"£7,836",0/1,0,1,£380,14/69,16,151,"£247,524",34/114,58,315,"£633,653",25/88,31,224,"£388,804",33/126,57,430,"£552,538",2/15,2,17,"£10,384",,,,
Mamool,2/7,2,34,"£56,085",1/6,1,23,"£47,146",1/5,1,11,"£8,938",9/16,31,147,"£260,377",3/5,7,25,"£96,556",8/12,22,104,"£152,345",2/9,2,18,"£11,475",0/1,0,2,£350,1/2,1,4,"£8,031",,,,,,,,,1/3,1,5,"£6,882",0/5,0,9,"£17,636",1/7,1,14,"£29,529",0/4,0,6,"£2,038",0/7,0,10,"£3,802",7/13,8,37,"£99,069",3/11,3,31,"£27,568",6/15,18,72,"£148,849",2/6,2,9,"£25,583",,,,
Marcel,1/7,2,38,"£15,645",1/7,2,36,"£15,645",0/1,0,2,—,0/1,0,3,"£2,143",,,,,0/1,0,3,"£2,143",,,,,,,,,0/4,0,17,"£5,153",0/4,0,17,"£5,153",0/2,0,3,—,1/6,2,29,"£12,313",0/3,0,5,"£3,332",0/1,0,1,—,,,,,1/3,1,3,"£6,797",1/3,1,6,"£2,762",0/1,0,1,—,0/5,0,11,"£4,167",0/3,0,4,—,0/1,0,1,£412
Markaz,17/49,27,324,"£240,114",9/42,16,197,"£162,849",8/38,11,127,"£77,265",,,,,,,,,,,,,,,,,,,,,9/45,11,183,"£121,533",5/32,6,135,"£66,848",8/40,11,130,"£93,938",9/43,12,177,"£124,548",1/6,4,14,"£18,941",0/2,0,3,"£2,687",,,,,0/5,0,5,"£1,732",1/23,1,41,"£19,919",1/14,1,20,"£13,518",4/29,6,68,"£70,594",4/23,8,44,"£57,354",0/1,0,1,£300
Mastercraftsman,236/493,559,5241,"£11,195,303",185/470,397,3624,"£9,611,942",94/347,162,1617,"£1,583,361",73/175,149,1358,"£1,612,890",11/30,18,140,"£221,858",67/164,124,1149,"£1,318,214",7/33,7,69,"£72,818",25/68,57,523,"£498,479",67/338,78,988,"£1,330,736",21/55,29,204,"£501,759",16/105,26,282,"£349,510",124/440,209,2263,"£4,401,806",91/324,165,1296,"£3,307,162",66/257,92,839,"£1,562,358",37/140,67,561,"£1,574,467",23/154,27,253,"£454,714",62/303,77,757,"£1,565,729",59/249,83,681,"£1,289,463",124/398,203,1686,"£4,215,524",92/352,117,1068,"£3,532,578",1/18,2,22,"£18,350"
Masterstroke,0/1,0,5,"£1,827",0/1,0,1,£300,0/1,0,4,"£1,527",2/15,2,49,"£29,535",,,,,2/11,2,33,"£26,642",0/9,0,16,"£2,893",,,,,,,,,,,,,,,,,,,,,0/1,0,2,£700,,,,,0/1,0,3,"£1,127",0/3,0,4,"£1,547",1/7,1,13,"£10,600",1/6,1,9,"£9,385",0/10,0,14,"£8,286",0/1,0,1,£439,,,,
Maxios,23/48,39,493,"£546,524",17/46,26,328,"£428,870",10/36,13,165,"£117,654",16/41,38,289,"£551,419",3/7,3,39,"£67,186",15/35,32,219,"£468,287",3/14,3,31,"£15,946",0/1,0,1,£571,4/29,5,83,"£65,711",1/9,2,26,"£18,669",0/9,0,21,"£5,157",9/42,10,146,"£81,738",9/35,11,131,"£138,285",12/30,12,128,"£147,615",4/18,6,67,"£173,729",5/27,6,53,"£105,290",13/47,16,129,"£221,656",7/30,8,63,"£118,946",14/53,16,193,"£257,136",4/31,7,81,"£134,471",0/3,0,3,"£1,641"
Mayson,143/286,383,3291,"£4,867,234",117/274,248,2202,"£3,822,746",69/217,135,1089,"£1,044,488",0/9,0,29,"£7,991",,,,,0/8,0,26,"£7,562",0/3,0,3,£429,2/6,7,38,"£138,725",75/227,105,913,"£1,414,656",16/44,23,178,"£363,255",102/246,253,1934,"£3,660,575",57/185,119,1186,"£1,110,388",6/43,9,131,"£70,740",2/12,2,33,"£17,472",9/6,0,7,"£8,060",12/85,13,118,"£250,432",39/187,46,431,"£510,975",40/163,51,410,"£774,709",53/217,63,628,"£1,110,048",43/190,62,545,"£1,134,945",4/12,5,13,"£28,513"
Mehmas,94/172,169,1225,"£2,422,701",76/162,115,885,"£2,018,486",38/113,54,340,"£404,215",,,,,,,,,,,,,,,,,,,,,80/161,114,702,"£1,693,127",46/88,65,401,"£909,702",78/153,129,871,"£1,953,853",20/89,37,340,"£452,050",3/6,3,13,"£15,277",0/1,0,1,"£1,521",,,,,1/21,1,24,"£30,735",11/76,11,116,"£156,882",15/63,15,98,"£219,184",39/133,43,320,"£907,583",32/103,38,255,"£642,063",1/3,2,4,"£11,933"
Milan,6/22,13,118,"£207,338",6/21,13,104,"£204,152",0/7,0,14,"£3,185",528/1189,1493,12754,"£18,089,327",236/513,484,3909,"£8,158,251",400/1014,814,7304,"£8,767,400",173/748,195,1541,"£1,163,676",74/224,160,1365,"£1,297,842",0/2,0,5,—,,,,,0/1,0,1,—,1/5,1,8,"£6,542",1/8,1,14,"£11,894",3/16,6,38,"£69,743",3/17,5,57,"£119,160",153/669,216,1767,"£2,606,975",226/837,327,2934,"£4,559,901",159/538,222,1773,"£3,599,226",287/898,509,3911,"£5,446,296",54/289,63,529,"£471,007",1/18,1,18,"£11,025"
Milk It Mick,14/42,41,681,"£334,055",12/37,30,412,"£263,617",5/38,11,269,"£70,438",0/3,0,12,—,,,,,0/1,0,6,—,0/3,0,6,—,1/3,2,8,"£32,686",4/31,7,146,"£85,407",1/7,1,34,"£7,408",13/39,37,476,"£257,730",4/29,4,186,"£75,492",0/6,0,13,£833,0/4,0,5,—,0/1,0,1,—,0/7,0,8,"£2,860",3/22,5,65,"£45,273",3/30,3,64,"£25,240",6/31,8,138,"£81,452",8/29,14,148,"£106,788",0/1,0,1,"£2,004"
Millenary,3/7,6,89,"£97,618",3/6,6,75,"£92,100",0/4,0,14,"£5,519",35/109,113,1121,"£1,097,708",19/47,46,346,"£559,123",25/86,60,652,"£497,439",6/64,7,123,"£41,146",3/12,4,32,"£5,641",,,,,,,,,,,,,0/2,0,7,"£2,233",1/3,1,13,"£15,911",2/5,3,38,"£48,403",2/6,2,31,"£31,072",13/51,25,150,"£296,341",16/71,23,226,"£328,994",10/46,13,132,"£91,299",23/85,46,393,"£411,263",3/32,3,60,"£59,200",,,,
Mondialiste,3/24,3,92,"£49,118",3/22,3,71,"£39,476",0/14,0,21,"£9,642",,,,,,,,,,,,,,,,,,,,,3/24,3,92,"£49,118",3/24,3,92,"£49,118",2/16,2,49,"£30,368",1/19,1,42,"£16,976",0/1,0,1,"£1,775",,,,,,,,,,,,,1/14,1,16,"£6,807",0/8,0,8,"£3,883",1/14,1,23,"£11,797",1/11,1,24,"£16,990",,,,
Monitor Closely,0/1,0,3,—,0/1,0,3,—,,,,,1/3,4,33,"£124,551",1/1,2,7,"£87,115",1/3,2,24,"£37,269",0/1,0,2,£167,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,2,—,0/1,0,1,—,,,,,1/3,1,8,"£14,579",0/2,0,5,"£27,295",1/3,1,10,"£16,357",0/1,0,2,—,,,,
Mores Wells,,,,,,,,,,,,,2/10,6,38,"£33,109",,,,,1/8,3,24,"£24,870",2/5,3,14,"£8,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4,1,5,"£3,328",1/3,1,6,"£3,899",0/3,0,3,"£1,455",2/6,4,15,"£21,235",0/1,0,1,"£2,352",,,,
